Week,Town,Case_Count,BI,CI,HI,LI,AI,Con100HH,RT,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Year,Month,Population density
2012-04-16,山上區,0.0,,,,,,,0.01,25.985714285714288,6.585714285714286,76.42857142857143,2.4,0.4428571428571428,2.4285714285714284,2012,4,277.1719635554918
2012-04-23,山上區,0.0,,,,,,,0.01,27.228571428571428,7.0,74.85714285714286,5.6571428571428575,1.6428571428571428,6.857142857142857,2012,4,277.1719635554918
2012-04-30,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,27.414285714285715,6.728571428571429,78.28571428571429,6.3999999999999995,1.542857142857143,20.357142857142858,2012,4,277.1719635554918
2012-05-07,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,28.142857142857142,6.1571428571428575,77.0,8.557142857142857,0.04285714285714286,0.0,2012,5,276.8132577659803
2012-05-14,山上區,0.0,0.641,2.564,0.641,0.0,0.0,0.64,0.01,26.857142857142858,4.285714285714286,85.42857142857143,2.8000000000000003,6.757142857142857,42.785714285714285,2012,5,276.8132577659803
2012-05-21,山上區,0.0,,,,,,,0.01,27.642857142857142,7.642857142857143,74.57142857142857,10.271428571428572,0.7857142857142857,2.9285714285714284,2012,5,276.8132577659803
2012-05-28,山上區,0.0,,,,,,,0.01,28.12857142857143,6.8999999999999995,79.28571428571429,7.714285714285714,1.0142857142857142,2.642857142857143,2012,5,276.8132577659803
2012-06-04,山上區,0.0,1.8916666666666666,3.6246666666666663,1.8916666666666666,0.0,0.0,1.89,0.01,28.585714285714285,5.814285714285715,82.57142857142857,3.9714285714285715,2.5285714285714285,19.928571428571427,2012,6,277.0643518186384
2012-06-11,山上區,0.0,,,,,,,0.01,27.571428571428573,5.471428571428571,88.57142857142857,1.8000000000000003,6.528571428571429,61.785714285714285,2012,6,277.0643518186384
2012-06-18,山上區,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,26.957142857142856,5.128571428571428,89.0,3.3428571428571425,7.057142857142857,33.07142857142857,2012,6,277.0643518186384
2012-06-25,山上區,0.0,,,,,,,0.01,29.428571428571427,5.457142857142857,77.28571428571429,9.299999999999999,0.07142857142857142,0.0,2012,6,277.0643518186384
