Week,Town,Year,Month,Case_Count,Case_Lag1W,Case_Lag2W,Case_Lag3W,AvgTemp,TempRange,AvgHumidity,SunshineHours,RainfallHours,Rainfall,Temp_Lag2W,Temp_Lag4W,Temp_Lag6W,Temp_Lag8W,Rain_Lag2W,Rain_Lag4W,Rain_Lag6W,Rain_Lag8W,BI,CI,HI,LI,AI,PI,Con100HH,BI_Lag2W,CI_Lag2W,HI_Lag2W,LI_Lag2W,AI_Lag2W,PI_Lag2W,Con100HH_Lag2W,Population density,RT
2012-10-22,歸仁區,2012,10,0.0,0.0,0.0,0.0,26.457142857142856,6.7,72.42857142857143,46.0,0.0,0.0,25.37142857142857,27.657142857142855,28.914285714285715,27.885714285714283,0.0,12.5,5.0,48.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.9842,6.994,1.9842,15.529399999999999,0.0,8.0,1.984,1191.2430791180705,0.01
2012-10-29,歸仁區,2012,10,1.0,0.0,0.0,0.0,24.442857142857143,6.114285714285714,74.0,21.9,3.9,2.5,24.842857142857145,25.957142857142856,28.37142857142857,29.342857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1191.2430791180705,0.01
2012-11-05,歸仁區,2012,11,0.0,1.0,0.0,0.0,24.657142857142855,7.5,68.0,51.5,0.0,0.0,26.457142857142856,25.37142857142857,27.657142857142855,28.914285714285715,0.0,0.0,12.5,5.0,2.0,4.402882352941177,1.8823529411764706,14.705882352941176,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1193.3581042205506,0.8664838352989548
2012-11-12,歸仁區,2012,11,0.0,0.0,1.0,0.0,23.400000000000002,6.414285714285714,77.42857142857143,39.6,19.5,81.5,24.442857142857143,24.842857142857145,25.957142857142856,28.37142857142857,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.3581042205506,0.1498932422639079
2012-11-19,歸仁區,2012,11,0.0,0.0,0.0,1.0,23.642857142857142,7.571428571428571,77.14285714285714,32.5,2.8000000000000003,12.5,24.657142857142855,26.457142857142856,25.37142857142857,27.657142857142855,0.0,0.0,0.0,12.5,1.0,3.333,1.0,20.0,0.0,0.0,1.0,2.0,4.402882352941177,1.8823529411764706,14.705882352941176,0.0,0.0,2.0,1193.3581042205506,0.0063679650588699
2012-11-26,歸仁區,2012,11,0.0,0.0,0.0,0.0,21.814285714285713,7.257142857142857,78.42857142857143,23.0,3.4000000000000004,2.6,23.400000000000002,24.442857142857143,24.842857142857145,25.957142857142856,81.5,2.5,0.0,0.0,1.875,3.37825,0.875,13.125,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.3581042205506,0.0080903797255292
2012-12-03,歸仁區,2012,12,0.0,0.0,0.0,0.0,19.2,5.6,75.14285714285714,12.2,10.4,11.5,23.642857142857142,24.657142857142855,26.457142857142856,25.37142857142857,12.5,0.0,0.0,0.0,2.0,6.6665,1.0,0.0,0.0,0.0,2.0,1.0,3.333,1.0,20.0,0.0,0.0,1.0,1194.72032377808,0.0097701722894016
2012-12-10,歸仁區,2012,12,0.0,0.0,0.0,0.0,20.900000000000002,8.857142857142858,70.28571428571429,57.9,0.0,0.0,21.814285714285713,23.400000000000002,24.442857142857143,24.842857142857145,2.6,81.5,2.5,0.0,0.8886666666666666,2.0833333333333335,0.8886666666666666,6.666666666666667,0.0,0.0,0.8866666666666667,1.875,3.37825,0.875,13.125,0.0,0.0,1.875,1194.72032377808,0.0099965565252334
2012-12-17,歸仁區,2012,12,0.0,0.0,0.0,0.0,19.285714285714285,8.671428571428573,70.0,47.7,0.0,0.0,19.2,23.642857142857142,24.657142857142855,26.457142857142856,11.5,12.5,0.0,0.0,1.0,2.083,1.0,0.0,0.0,0.0,1.0,2.0,6.6665,1.0,0.0,0.0,0.0,2.0,1194.72032377808,0.01
2012-12-24,歸仁區,2012,12,0.0,0.0,0.0,0.0,18.957142857142856,8.385714285714286,71.71428571428571,26.6,4.1000000000000005,5.5,20.900000000000002,21.814285714285713,23.400000000000002,24.442857142857143,0.0,2.6,81.5,2.5,1.0,2.083,1.0,0.0,0.0,0.0,1.0,2.0,6.6665,1.0,0.0,0.0,0.0,2.0,1194.72032377808,0.01
2012-12-31,歸仁區,2012,12,0.0,0.0,0.0,0.0,16.642857142857142,7.385714285714286,72.42857142857143,32.0,1.0,1.0,19.285714285714285,19.2,23.642857142857142,24.657142857142855,0.0,11.5,12.5,0.0,1.3333333333333333,1.8016666666666667,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,0.8886666666666666,2.0833333333333335,0.8886666666666666,6.666666666666667,0.0,0.0,0.8866666666666667,1194.72032377808,0.01
2013-01-07,歸仁區,2013,1,0.0,0.0,0.0,0.0,17.657142857142855,5.828571428571428,79.85714285714286,8.2,3.7,6.5,18.957142857142856,20.900000000000002,21.814285714285713,23.400000000000002,5.5,0.0,2.6,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.083,1.0,0.0,0.0,0.0,1.0,1199.0758415738655,0.01
2013-01-14,歸仁區,2013,1,0.0,0.0,0.0,0.0,16.242857142857144,8.942857142857143,70.28571428571429,59.7,0.0,0.0,16.642857142857142,19.285714285714285,19.2,23.642857142857142,1.0,0.0,11.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.8016666666666667,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,1199.0758415738655,0.01
2013-01-21,歸仁區,2013,1,0.0,0.0,0.0,0.0,18.2,7.3999999999999995,72.85714285714286,24.9,0.0,0.0,17.657142857142855,18.957142857142856,20.900000000000002,21.814285714285713,6.5,5.5,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.8016666666666667,1.3333333333333333,0.0,0.0,0.0,1.3333333333333333,1199.0758415738655,0.01
2013-01-28,歸仁區,2013,1,0.0,0.0,0.0,0.0,19.885714285714283,9.957142857142857,65.71428571428571,54.0,1.4,1.5,16.242857142857144,16.642857142857142,19.285714285714285,19.2,0.0,1.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0758415738655,0.01
