年月,區域別,人口數,人口密度
112.4,安南區,200222,1867.7146609752094
112.4,安平區,68527,6192.403965191618
112.4,中西區,77587,12394.08945686901
112.3,總計,1856642,847.1422781278661
112.3,新營區,75023,1946.6975966952612
112.3,鹽水區,24368,466.4133753146204
112.3,白河區,26198,207.25511571572554
112.3,柳營區,20442,333.51334330729986
112.3,後壁區,21789,301.70772470918274
112.3,東山區,19327,154.71774238739394
112.3,麻豆區,42980,796.3034327384834
112.3,下營區,22623,674.7273264119824
112.3,六甲區,21321,315.64641561221725
112.3,官田區,20841,294.3839492169678
112.3,大內區,8816,125.3831111111111
112.3,佳里區,58193,1494.3428979359153
112.3,學甲區,24722,457.8834973394157
112.3,西港區,24746,732.8543590411828
112.3,七股區,21441,194.65415999389919
112.3,將軍區,18530,441.40487284299996
112.3,北門區,10142,229.97575980208754
112.3,新化區,42587,686.2462313420209
112.3,善化區,51952,939.2927461186736
112.3,新市區,37551,785.4280311903885
112.3,安定區,29961,958.1387911736489
112.3,山上區,6978,250.3048999210847
112.3,玉井區,13146,172.14422087258498
112.3,楠西區,8823,80.47862112748514
112.3,南化區,8079,47.102433654889985
112.3,左鎮區,4317,57.63492540302393
112.3,仁德區,77111,1518.9377225881685
112.3,歸仁區,68230,1222.950531713726
112.3,關廟區,33386,622.3935661514541
112.3,龍崎區,3579,55.85083971323972
112.3,永康區,234772,5829.180664079473
112.3,東區,181079,13497.644533229972
112.3,南區,121259,4446.9178270579905
112.3,北區,126332,12107.724746022619
112.3,安南區,200032,1865.9422993686662
112.3,安平區,68465,6186.801369924907
112.3,中西區,77501,12380.35143769968
112.2,總計,1855655,846.6919331348561
112.2,新營區,75005,1946.2305325050727
112.2,鹽水區,24397,466.968447043286
112.2,白河區,26224,207.46080443275008
112.2,柳營區,20432,333.35019227349335
112.2,後壁區,21823,302.1785155963328
112.2,東山區,19348,154.8858529368913
112.2,麻豆區,42966,796.0440505128357
112.2,下營區,22638,675.1746989928153
112.2,六甲區,21323,315.67602458136616
112.2,官田區,20849,294.4969510687857
112.2,大內區,8831,125.59644444444444
112.2,佳里區,58185,1494.1374652690397
112.2,學甲區,24745,458.3094871638153
112.2,西港區,24727,732.2916728364717
112.2,七股區,21458,194.80849611254555
112.2,將軍區,18564,442.214790040877
112.2,北門區,10162,230.42927145620325
112.2,新化區,42542,685.5211020675853
112.2,善化區,51921,938.7322657689339
112.2,新市區,37530,784.9887888624878
112.2,安定區,29916,956.6997121842021
112.2,山上區,6966,249.874452973671
112.2,玉井區,13135,172.00017808925938
112.2,楠西區,8838,80.61544299271378
112.2,南化區,8100,47.224868499147036
112.2,左鎮區,4338,57.91528987683989
112.2,仁德區,77028,1517.3027829430491
112.2,歸仁區,68175,1221.9647149286716
112.2,關廟區,33410,622.8409826010928
112.2,龍崎區,3595,56.100522148392514
112.2,永康區,234467,5821.607784423703
112.2,東區,180870,13482.065654909211
112.2,南區,121229,4445.8176403929865
112.2,北區,126267,12101.49511213341
112.2,安南區,199741,1863.2277876449605
112.2,安平區,68359,6177.222739307627
112.2,中西區,77551,12388.338658146966
112.1,總計,1855092,846.4350494154389
112.1,新營區,74972,1945.3742481563938
112.1,鹽水區,24447,467.9254672651233
112.1,白河區,26210,207.35004896973686
112.1,柳營區,20408,332.95862979235767
112.1,後壁區,21865,302.76008080987106
112.1,東山區,19367,155.0379529578651
112.1,麻豆區,42956,795.8587774945158
112.1,下營區,22649,675.5027722187592
112.1,六甲區,21360,316.2237905106215
112.1,官田區,20866,294.7370800038986
112.1,大內區,8845,125.79555555555555
112.1,佳里區,58124,1492.571041184114
112.1,學甲區,24747,458.34652975724134
112.1,西港區,24716,731.9659071390073
112.1,七股區,21471,194.9265178503339
112.1,將軍區,18620,443.54877130796865
112.1,北門區,10191,231.08686335467107
112.1,新化區,42523,685.2149363739347
112.1,善化區,51900,938.3525855320133
112.1,新市區,37534,785.0724540678023
112.1,安定區,29914,956.6357531180045
112.1,山上區,6975,250.1972881842313
112.1,玉井區,13121,171.81685091048132
112.1,楠西區,8853,80.75226485794241
112.1,南化區,8112,47.29483126729392
112.1,左鎮區,4361,58.22235572911451
112.1,仁德區,76983,1516.416369882442
112.1,歸仁區,68140,1221.3373769745463
112.1,關廟區,33436,623.325683754868
112.1,龍崎區,3600,56.178547909377755
112.1,永康區,234351,5818.727607243149
112.1,東區,180828,13478.934971227527
112.1,南區,121212,4445.194201282818
112.1,北區,126229,12097.853172321258
112.1,安南區,199502,1860.998343308309
112.1,安平區,68217,6164.390988858065
112.1,中西區,77487,12378.115015974441
111.12,總計,1852997,845.4791499621906
111.12,新營區,74908,1943.7135754801677
111.12,鹽水區,24452,468.02116928730703
111.12,白河區,26203,207.29467123823025
111.12,柳營區,20407,332.94231468897704
111.12,後壁區,21891,303.1200973706329
111.12,東山區,19366,155.0299476936033
111.12,麻豆區,42933,795.4326495523803
111.12,下營區,22635,675.0852244766487
111.12,六甲區,21342,315.95730978828107
111.12,官田區,20849,294.4969510687857
111.12,大內區,8847,125.824
111.12,佳里區,58063,1491.004617099188
111.12,學甲區,24749,458.3835723506674
111.12,西港區,24713,731.8770619487897
111.12,七股區,21439,194.6360028034702
111.12,將軍區,18618,443.50112911985826
111.12,北門區,10183,230.90545869302477
111.12,新化區,42467,684.3125532768593
111.12,善化區,51842,937.3039448776616
111.12,新市區,37482,783.9848063987148
111.12,安定區,29904,956.3159577870164
111.12,山上區,6976,250.23315876318244
111.12,玉井區,13118,171.7775665150289
111.12,楠西區,8870,80.90732963853488
111.12,南化區,8114,47.306491728651736
111.12,左鎮區,4366,58.28910917526117
111.12,仁德區,76896,1514.7026379652684
111.12,歸仁區,68044,1219.6166785860878
111.12,關廟區,33424,623.1019755300487
111.12,龍崎區,3601,56.19415306157481
111.12,永康區,234130,5813.240373131919
111.12,東區,180511,13455.30576343958
111.12,南區,121035,4438.7030999592935
111.12,北區,126068,12082.422848380296
111.12,安南區,199118,1857.4163072192953
111.12,安平區,68025,6147.041016419219
111.12,中西區,77408,12365.495207667733
111.11,總計,1851545,844.8166363554524
111.11,新營區,74818,1941.3782545292252
111.11,鹽水區,24461,468.1934329272378
111.11,白河區,26240,207.58738210476517
111.11,柳營區,20411,333.00757510249963
111.11,後壁區,21918,303.4939607221932
111.11,東山區,19400,155.30212667850378
111.11,麻豆區,42943,795.6179225707001
111.11,下營區,22636,675.1150493153708
111.11,六甲區,21334,315.8388739116853
111.11,官田區,20874,294.85008185571644
111.11,大內區,8860,126.00888888888889
111.11,佳里區,58059,1490.9019007657503
111.11,學甲區,24781,458.9762538454842
111.11,西港區,24728,732.3212878998775
111.11,七股區,21450,194.7358673508296
111.11,將軍區,18648,444.2157619415145
111.11,北門區,10201,231.31361918172894
111.11,新化區,42424,683.6196519701763
111.11,善化區,51792,936.3999443135652
111.11,新市區,37432,782.9389913322847
111.11,安定區,29907,956.4118963863127
111.11,山上區,6987,250.627735131645
111.11,玉井區,13136,172.0132728877435
111.11,楠西區,8878,80.98030129999015
111.11,南化區,8142,47.46973818766113
111.11,左鎮區,4368,58.315810553719835
111.11,仁德區,76790,1512.6146427558385
