Week,Town,Mean(R),Quantile.0.025(R),Quantile.0.975(R)
2017-10-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-10-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-11-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-11-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-11-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-11-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-12-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-12-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-12-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2017-12-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-01-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-01-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-01-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-01-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-01-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-02-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-02-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-02-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-02-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-03-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-03-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-03-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-03-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-04-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-04-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-04-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-04-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-04-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-05-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-05-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-05-21,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-05-28,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-06-04,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-06-11,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-06-18,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-06-25,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-07-02,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-07-09,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-07-16,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-07-23,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-07-30,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-08-06,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-08-13,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-08-20,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-08-27,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-09-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-09-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-09-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-09-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-10-01,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-10-08,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-10-15,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-10-22,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-10-29,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-11-05,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-11-12,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-11-19,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-11-26,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-12-03,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-12-10,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-12-17,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-12-24,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2018-12-31,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-01-07,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
2019-01-14,山上區,0.01,3.5226859973137185e-161,0.047137958431590306
